phase,epoch,train_loss,val_loss,acc_h1,acc_h5,acc_h20
1,1,0.3475178574643484,0.35247913002967834,0.5,0.5333333611488342,0.699999988079071
1,2,0.3474030029482958,0.3522353172302246,0.5,0.5166666507720947,0.6833333373069763
1,3,0.3470691486102779,0.352048397064209,0.5166666507720947,0.5166666507720947,0.6666666865348816
1,4,0.34747650710547845,0.3519262373447418,0.5166666507720947,0.5333333611488342,0.6666666865348816
1,5,0.3471833300299761,0.3518172800540924,0.5166666507720947,0.550000011920929,0.6666666865348816
1,6,0.34698392559842367,0.3518785238265991,0.5,0.5333333611488342,0.6499999761581421
1,7,0.34736701555368377,0.35182464122772217,0.5,0.5333333611488342,0.6499999761581421
1,8,0.3471649478121502,0.35175004601478577,0.5,0.550000011920929,0.6499999761581421
1,9,0.3472419475636831,0.3517126739025116,0.5,0.550000011920929,0.6499999761581421
1,10,0.34696548304906705,0.35171571373939514,0.5,0.550000011920929,0.6499999761581421
1,11,0.3469481010262559,0.3517657220363617,0.5166666507720947,0.550000011920929,0.6499999761581421
1,12,0.3471080878885781,0.3517833948135376,0.5,0.550000011920929,0.6499999761581421
1,13,0.3468677663221592,0.3517305850982666,0.5,0.550000011920929,0.6499999761581421
1,14,0.34733706567345596,0.3516983091831207,0.5,0.550000011920929,0.6499999761581421
1,15,0.34714439438610545,0.3517383337020874,0.5166666507720947,0.550000011920929,0.6499999761581421
1,16,0.3470628457825358,0.35177505016326904,0.5166666507720947,0.550000011920929,0.6499999761581421
1,17,0.34672650694847107,0.351766973733902,0.5166666507720947,0.550000011920929,0.6499999761581421
1,18,0.34703749490947255,0.3517647087574005,0.5166666507720947,0.550000011920929,0.6499999761581421
1,19,0.34722629771,0.3517192602157593,0.5,0.550000011920929,0.6499999761581421
